CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
67665019138,MINNEAPOLIS,MN,55432,-93.2516763460292,45.1020569447387,$50000-$74999,12,4,I31,Possible
17544874412,MINNEAPOLIS,MN,55418,-93.2225481696254,45.0276228735103,$50000-$74999,01,2,D16,Possible
77559881577,MINNEAPOLIS,MN,55419,-93.2810739114015,44.914955956998,$100000-$124999,01,3,F22,Likely
77521955002,MINNEAPOLIS,MN,55426,-93.3826442513009,44.9542122552918,$50000-$74999,10,1,Q62,Not Likely
27527938651,MINNEAPOLIS,MN,55424,-93.3378123463706,44.9207063210433,$100000-$124999,29,3,C13,Not Likely
37639016847,MINNEAPOLIS,MN,55432,-93.2630621761304,45.0813369675536,$25000-$34999,00,1,K40,Not Likely
27512810006,MINNEAPOLIS,MN,55411,-93.3025230301716,45.0058728841451,$75000-$99999,04,4,O52,Likely
87514780860,MINNEAPOLIS,MN,55408,-93.28716,44.94835,$35000-$49999,00,1,R66,Possible
47678076886,MINNEAPOLIS,MN,55441,-93.430829486246,45.0273129902175,$100000-$124999,03,2,O55,Yes
97662122821,MINNEAPOLIS,MN,55447,-93.5148761737725,45.0092528280228,$75000-$99999,25,8,B07,Possible
67530732450,MINNEAPOLIS,MN,55403,-93.2809431951426,44.9700111024276,$75000-$99999,04,3,G25,Not Likely
07508950918,MINNEAPOLIS,MN,55426,-93.3835084357319,44.9451735862809,$1000-$14999,04,1,G24,Possible
07613015268,MINNEAPOLIS,MN,55432,-93.2548841786195,45.0719066666667,$50000-$74999,49,2,J34,Possible
17530756025,MINNEAPOLIS,MN,55406,-93.2280182815357,44.9165498310434,$50000-$74999,09,4,C11,Not Likely
77679123179,MINNEAPOLIS,MN,55447,-93.4997282325027,45.0110195915838,$75000-$99999,24,1,C13,Not Likely
57687053366,MINNEAPOLIS,MN,55436,-93.3568903145708,44.8930858605592,$175000-$199999,05,3,A03,Likely
47672148210,MINNEAPOLIS,MN,55458,-93.26508,44.98312,$35000-$49999,03,1,E19,Not Likely
77691114729,MINNEAPOLIS,MN,55446,-93.4673640680367,45.0393312940306,$200000-$249999,21,2,A01,Possible
